job,entreprise
Chef de projet junior-(H/F),Societe Generale
Associate Auditor – Capital Markets,Societe Generale Corporate and Investment Banking - SGCIB
Assistant structureur sur indices propriétaires-(H/F),Societe Generale Corporate and Investment Banking - SGCIB
Campus Talent Acquisition Advisor - 12 Months,LevelUP
Superviseur Audit Embargo & Sanctions-(H/F),easy partner
QA Automation Engineer,Societe Generale
IT Business Analyst with French,Societe Generale Global Solution Centre Romania
Chargé de gouvernance Data-(H/F),Societe Generale Global Solution Centre Romania
Gestionnaire RH-(H/F),ALD Automotive
Lead Systems engineer- Active Directory,Societe Generale
Lead Systems engineer- Active Directory,Societe Generale Global Solution Centre
